id,code,name,type,parent_code,create_time,update_time,is_deleted
2907,540630,双湖县,COUNTY,5406,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2908,5425,阿里地区,CITY,54,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2909,542521,普兰县,COUNTY,5425,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2910,542522,札达县,COUNTY,5425,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2911,542523,噶尔县,COUNTY,5425,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2912,542524,日土县,COUNTY,5425,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2913,542525,革吉县,COUNTY,5425,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2914,542526,改则县,COUNTY,5425,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2915,542527,措勤县,COUNTY,5425,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2916,61,陕西省,PROVINCE,,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2917,6101,西安市,CITY,61,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2918,610102,新城区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2919,610103,碑林区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2920,610104,莲湖区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2921,610111,灞桥区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2922,610112,未央区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2923,610113,雁塔区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2924,610114,阎良区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2925,610115,临潼区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2926,610116,长安区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2927,610117,高陵区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2928,610118,鄠邑区,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2929,610122,蓝田县,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2930,610124,周至县,COUNTY,6101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2931,6102,铜川市,CITY,61,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2932,610202,王益区,COUNTY,6102,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2933,610203,印台区,COUNTY,6102,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2934,610204,耀州区,COUNTY,6102,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2935,610222,宜君县,COUNTY,6102,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2936,6103,宝鸡市,CITY,61,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2937,610302,渭滨区,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2938,610303,金台区,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2939,610304,陈仓区,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2940,610305,凤翔区,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2941,610323,岐山县,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2942,610324,扶风县,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2943,610326,眉县,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2944,610327,陇县,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2945,610328,千阳县,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2946,610329,麟游县,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2947,610330,凤县,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2948,610331,太白县,COUNTY,6103,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2949,6104,咸阳市,CITY,61,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2950,610402,秦都区,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2951,610403,杨陵区,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2952,610404,渭城区,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2953,610422,三原县,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2954,610423,泾阳县,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2955,610424,乾县,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2956,610425,礼泉县,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2957,610426,永寿县,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
